x,y,z
19226,6965.94,2020.86
19318.9,7058.82,2013.88
19411.8,7058.82,1997.06
19504.6,7058.82,1973.07
19597.5,7058.82,1952.39
19597.5,7151.7,1944.42
19690.4,7058.82,1928.33
19783.3,6965.94,1920.22
19783.3,7058.82,1915.04
19783.3,7151.7,1912.65
19690.4,7151.7,1907.46
19690.4,7244.58,1900.55
19783.3,7244.58,1893.5
19783.3,7337.46,1873.9
19783.3,7430.34,1862.13
19783.3,7523.22,1851.89
19783.3,7616.1,1848.37
19783.3,7708.98,1843.59
19876.2,7801.86,1837.47
19783.3,7801.86,1832.02
19876.2,7894.74,1830.56
19783.3,7894.74,1821.32
19783.3,7987.62,1808.96
19690.4,8080.5,1799.32
19597.5,8080.5,1800.32
19504.6,8173.37,1796.73
19411.8,8266.25,1795
19318.9,8359.13,1789.48
19411.8,8359.13,1784.3
19318.9,8452.01,1777.98
19226,8452.01,1776.52
19133.1,8544.89,1768.61
19040.2,8637.77,1762.49
19040.2,8730.65,1760.04
18947.4,8823.53,1750.33
18854.5,8823.53,1741.96
18854.5,8916.41,1737.57
18761.6,8916.41,1733.38
18668.7,9009.29,1733.71
18668.7,9102.17,1727.93
18761.6,9102.17,1725.94
18668.7,9195.05,1715.83
18668.7,9287.93,1709.25
18668.7,9380.8,1705.73
18668.7,9473.68,1702.27
18575.9,9380.8,1698.69
